"data";"valor"
"01/01/2010";"87,95497"
"01/02/2010";"89,21251"
"01/03/2010";"100,28025"
"01/04/2010";"95,68569"
"01/05/2010";"95,44154"
"01/06/2010";"95,14174"
"01/07/2010";"99,02160"
"01/08/2010";"98,95645"
"01/09/2010";"97,49819"
"01/10/2010";"97,40577"
"01/11/2010";"97,65189"
"01/12/2010";"95,56006"
"01/01/2011";"92,74658"
"01/02/2011";"95,20606"
"01/03/2011";"101,32568"
"01/04/2011";"97,79573"
"01/05/2011";"100,13533"
"01/06/2011";"99,09846"
"01/07/2011";"101,50768"
"01/08/2011";"103,12440"
"01/09/2011";"99,48731"
"01/10/2011";"99,28642"
"01/11/2011";"99,18257"
"01/12/2011";"97,33945"
"01/01/2012";"93,21854"
"01/02/2012";"94,62490"
"01/03/2012";"102,31432"
"01/04/2012";"97,77105"
"01/05/2012";"101,06350"
"01/06/2012";"99,46796"
"01/07/2012";"103,09105"
"01/08/2012";"104,80294"
"01/09/2012";"98,99252"
"01/10/2012";"103,26438"
"01/11/2012";"100,78053"
"01/12/2012";"97,53811"
"01/01/2013";"97,40116"
"01/02/2013";"95,17534"
"01/03/2013";"103,47620"
"01/04/2013";"104,72242"
"01/05/2013";"102,78919"
"01/06/2013";"101,28367"
"01/07/2013";"106,35373"
"01/08/2013";"106,13135"
"01/09/2013";"102,95758"
"01/10/2013";"106,19830"
"01/11/2013";"103,32211"
"01/12/2013";"101,91129"
"01/01/2014";"99,77535"
"01/02/2014";"100,34283"
"01/03/2014";"104,18827"
"01/04/2014";"103,25461"
"01/05/2014";"102,87004"
"01/06/2014";"98,49347"
"01/07/2014";"104,76153"
"01/08/2014";"103,66027"
"01/09/2014";"103,55409"
"01/10/2014";"104,66042"
"01/11/2014";"101,31610"
"01/12/2014";"101,70469"
"01/01/2015";"96,24376"
"01/02/2015";"95,89662"
"01/03/2015";"104,37879"
"01/04/2015";"99,53224"
"01/05/2015";"97,62422"
"01/06/2015";"96,87559"
"01/07/2015";"99,90267"
"01/08/2015";"98,28651"
"01/09/2015";"96,49446"
"01/10/2015";"97,76447"
"01/11/2015";"95,18659"
"01/12/2015";"95,36546"
"01/01/2016";"88,85323"
"01/02/2016";"91,53233"
"01/03/2016";"98,00923"
"01/04/2016";"95,08189"
"01/05/2016";"93,27338"
"01/06/2016";"94,58694"
"01/07/2016";"95,44785"
"01/08/2016";"96,37444"
"01/09/2016";"93,74539"
"01/10/2016";"92,85710"
"01/11/2016";"92,74189"
"01/12/2016";"93,57915"
"01/01/2017";"88,55610"
"01/02/2017";"90,61713"
"01/03/2017";"98,95999"
"01/04/2017";"93,67556"
"01/05/2017";"94,70514"
"01/06/2017";"94,46268"
"01/07/2017";"96,68250"
"01/08/2017";"97,87990"
"01/09/2017";"94,39101"
"01/10/2017";"95,14566"
"01/11/2017";"94,73784"
"01/12/2017";"95,16699"
"01/01/2018";"91,14201"
"01/02/2018";"91,00423"
"01/03/2018";"98,66088"
"01/04/2018";"97,24720"
"01/05/2018";"92,58661"
"01/06/2018";"95,68701"
"01/07/2018";"98,59308"
"01/08/2018";"100,07270"
"01/09/2018";"95,07919"
"01/10/2018";"97,79599"
"01/11/2018";"96,50606"
"01/12/2018";"95,59040"
"01/01/2019";"92,15871"
"01/02/2019";"93,89772"
"01/03/2019";"97,08962"
"01/04/2019";"97,50931"
"01/05/2019";"97,49387"
"01/06/2019";"94,62383"
"01/07/2019";"99,99077"
"01/08/2019";"99,40220"
"01/09/2019";"96,74459"
"01/10/2019";"99,89953"
"01/11/2019";"97,45295"
"01/12/2019";"96,50296"
"01/01/2020";"92,45205"
"01/02/2020";"94,14680"
"01/03/2020";"95,44446"
"01/04/2020";"83,95815"
"01/05/2020";"84,24757"
"01/06/2020";"88,87497"
"01/07/2020";"95,42843"
"01/08/2020";"95,08457"
"01/09/2020";"95,84977"
"01/10/2020";"97,85744"
"01/11/2020";"96,85416"
"01/12/2020";"97,53569"
"01/01/2021";"90,80870"
"01/02/2021";"94,26730"
"01/03/2021";"101,08515"
"01/04/2021";"97,56692"
"01/05/2021";"96,05172"
"01/06/2021";"96,55048"
"01/07/2021";"99,83978"
"01/08/2021";"99,32829"
"01/09/2021";"97,24746"
"01/10/2021";"96,62082"
"01/11/2021";"98,05768"
"01/12/2021";"99,33126"
"01/01/2022";"90,45032"
"01/02/2022";"95,72214"
"01/03/2022";"104,61484"
"01/04/2022";"100,42352"
"01/05/2022";"99,79777"
"01/06/2022";"99,53784"
"01/07/2022";"103,95861"
"01/08/2022";"104,56278"
"01/09/2022";"101,38087"
"01/10/2022";"100,20398"
"01/11/2022";"99,36927"
"01/12/2022";"99,97806"
"01/01/2023";"93,79237"
"01/02/2023";"98,75065"
"01/03/2023";"110,62354"
"01/04/2023";"104,34152"
"01/05/2023";"102,66392"
"01/06/2023";"102,53174"
"01/07/2023";"105,47522"
"01/08/2023";"106,13139"
"01/09/2023";"102,00419"
"01/10/2023";"102,07440"
"01/11/2023";"101,86494"
"01/12/2023";"101,74606"
"01/01/2024";"98,01879"
"01/02/2024";"102,37988"
"01/03/2024";"109,58504"
"01/04/2024";"109,36335"
"01/05/2024";"104,84682"
"01/06/2024";"106,03093"
"01/07/2024";"111,55002"
"01/08/2024";"110,19363"
"01/09/2024";"107,28836"
"01/10/2024";"109,21678"
"01/11/2024";"105,74688"
"01/12/2024";"104,27340"
